"id","date","last.touch","last.click"
5334,2017-01-03,"social","none"
5882,2017-02-07,"email","none"
8473,2017-01-15,"social","none"
4186,2017-01-16,"social","social"
43,2017-01-23,"social","social"
644,2017-02-18,"email","email"
7184,2017-02-23,"email","email"
3991,2017-01-21,"display","none"
9653,2017-01-12,"direct","none"
6976,2017-01-17,"email","email"
7676,2017-01-22,"social","social"
4580,2017-01-28,"display","email"
1343,2017-01-01,"none","none"
5042,2017-02-02,"display","email"
9062,2017-01-31,"email","social"
2873,2017-01-21,"social","social"
906,2017-01-21,"social","social"
2312,2017-02-05,"direct","email"
9340,2017-01-03,"social","none"
1404,2017-02-19,"direct","none"
6616,2017-02-22,"direct","none"
5405,2017-02-11,"display","email"
3567,2017-01-23,"none","none"
9865,2017-01-12,"social","none"
136,2017-02-04,"display","email"
4520,2017-01-10,"social","none"
7792,2017-01-12,"email","none"
8774,2017-02-08,"email","email"
9489,2017-01-17,"email","none"
584,2017-01-25,"email","email"
6372,2017-01-25,"social","social"
462,2017-01-02,"none","none"
9191,2017-01-06,"social","none"
5831,2017-02-01,"email","social"
8198,2017-02-04,"display","none"
4990,2017-01-23,"email","email"
5915,2017-01-31,"email","email"
6975,2017-02-01,"email","none"
8874,2017-01-03,"social","email"
4085,2017-02-25,"none","none"
374,2017-02-08,"display","none"
9417,2017-01-08,"direct","none"
5570,2017-01-07,"social","social"
5187,2017-01-03,"email","email"
6760,2017-01-09,"social","none"
8183,2017-01-20,"social","email"
7241,2017-01-18,"email","none"
2304,2017-01-23,"display","email"
1045,2017-01-09,"display","none"
4196,2017-02-02,"email","social"
724,2017-01-02,"social","none"
1120,2017-02-19,"email","none"
3105,2017-02-04,"display","email"
6448,2017-02-04,"display","none"
1550,2017-02-14,"email","none"
401,2017-02-21,"display","none"
6765,2017-02-23,"display","email"
5061,2017-01-29,"social","social"
4886,2017-01-03,"display","none"
9795,2017-02-09,"direct","none"
5221,2017-02-10,"direct","none"
9663,2017-02-24,"display","social"
1079,2017-01-25,"display","display"
31,2017-01-12,"social","social"
7063,2017-01-09,"display","none"
5982,2017-01-27,"display","none"
7037,2017-01-24,"email","none"
9111,2017-02-07,"display","social"
19,2017-01-31,"email","social"
7444,2017-01-30,"email","none"
6050,2017-02-15,"email","email"
6172,2017-01-13,"social","social"
3744,2017-01-12,"email","none"
8477,2017-02-01,"email","email"
445,2017-02-22,"direct","none"
5611,2017-01-23,"social","social"
7013,2017-02-15,"display","email"
1159,2017-01-11,"social","none"
5918,2017-02-04,"display","none"
7772,2017-02-07,"email","none"
6901,2017-02-06,"display","email"
6048,2017-01-21,"display","none"
1869,2017-01-22,"social","none"
258,2017-02-21,"direct","none"
7595,2017-02-22,"email","email"
4135,2017-01-23,"social","social"
239,2017-02-05,"display","social"
3691,2017-01-24,"email","display"
4115,2017-01-25,"social","email"
2952,2017-02-19,"display","none"
8807,2017-02-27,"email","none"
6024,2017-01-21,"display","none"
137,2017-02-11,"display","display"
1036,2017-01-08,"social","none"
9659,2017-02-05,"display","none"
1823,2017-02-12,"direct","none"
2627,2017-01-25,"social","email"
2326,2017-02-12,"email","email"
8751,2017-01-07,"display","none"
8826,2017-01-29,"social","social"
3133,2017-02-18,"email","none"
1560,2017-01-14,"direct","none"
8180,2017-02-10,"email","email"
5676,2017-02-09,"email","email"
2143,2017-01-15,"social","email"
4437,2017-01-01,"social","none"
9561,2017-01-02,"social","none"
1453,2017-01-08,"social","none"
1047,2017-02-06,"display","none"
6037,2017-02-03,"direct","email"
7389,2017-01-27,"display","none"
7704,2017-02-11,"direct","social"
7218,2017-02-09,"display","display"
8144,2017-02-22,"email","none"
563,2017-02-23,"display","display"
4112,2017-02-22,"display","display"
9527,2017-02-27,"display","email"
2531,2017-02-08,"display","social"
1576,2017-02-24,"display","display"
1587,2017-01-20,"social","social"
4577,2017-02-08,"display","email"
8557,2017-02-02,"display","email"
8485,2017-01-20,"display","none"
6574,2017-02-19,"none","none"
6021,2017-01-04,"social","none"
5521,2017-02-16,"display","none"
2886,2017-01-03,"email","email"
1280,2017-02-14,"email","social"
328,2017-02-07,"email","social"
9688,2017-01-10,"social","none"
4761,2017-01-12,"display","none"
4848,2017-02-07,"email","social"
5736,2017-02-22,"display","none"
7962,2017-02-24,"email","email"
8921,2017-01-19,"email","none"
985,2017-01-24,"email","none"
3124,2017-01-30,"social","social"
6285,2017-01-28,"social","none"
5881,2017-02-04,"direct","none"
1847,2017-01-04,"social","none"
9384,2017-01-29,"social","social"
3918,2017-02-08,"email","none"
7354,2017-02-15,"display","email"
5448,2017-02-21,"email","email"
4584,2017-01-06,"social","none"
2574,2017-01-04,"social","none"
745,2017-02-12,"display","email"
5207,2017-01-17,"email","email"
4814,2017-02-21,"none","none"
1030,2017-02-07,"display","email"
9681,2017-01-04,"social","none"
6895,2017-02-05,"display","display"
6090,2017-01-12,"social","social"
126,2017-02-19,"direct","none"
2505,2017-02-26,"direct","none"
949,2017-01-25,"email","none"
5285,2017-01-18,"social","social"
1633,2017-02-06,"direct","social"
4377,2017-01-03,"social","none"
2322,2017-01-30,"social","none"
5637,2017-02-08,"email","email"
4249,2017-01-09,"direct","none"
8874,2017-02-28,"email","social"
672,2017-02-21,"email","email"
7583,2017-01-06,"social","none"
5616,2017-02-08,"email","none"
1570,2017-01-06,"direct","none"
1488,2017-01-18,"display","none"
7362,2017-01-24,"social","none"
6040,2017-01-12,"display","none"
4205,2017-01-11,"email","none"
1364,2017-02-13,"display","email"
2318,2017-02-18,"none","none"
7925,2017-01-03,"email","none"
5204,2017-01-08,"social","none"
3099,2017-01-23,"email","none"
9802,2017-01-06,"social","none"
6334,2017-02-07,"email","social"
2778,2017-02-15,"email","email"
7268,2017-02-27,"email","email"
5574,2017-01-15,"social","none"
1322,2017-01-21,"display","none"
2772,2017-01-05,"display","none"
3213,2017-01-05,"display","none"
2532,2017-02-23,"email","none"
1571,2017-01-28,"social","social"
5007,2017-01-26,"social","social"
1952,2017-01-10,"social","none"
1490,2017-01-10,"social","none"
7331,2017-02-17,"direct","none"
4003,2017-01-20,"display","social"
6469,2017-02-17,"social","social"
5990,2017-02-24,"display","email"
6048,2017-01-18,"display","none"
4631,2017-01-15,"display","none"
6523,2017-01-10,"direct","none"
2296,2017-02-08,"email","none"
8,2017-01-17,"email","email"
8683,2017-01-20,"social","social"
5320,2017-01-29,"social","none"
7639,2017-01-24,"social","social"
2126,2017-01-04,"email","none"
308,2017-02-01,"email","none"
7365,2017-02-16,"email","email"
3042,2017-01-23,"social","none"
6196,2017-01-07,"social","none"
1446,2017-01-23,"social","none"
9500,2017-02-17,"email","email"
1453,2017-02-06,"email","social"
7286,2017-02-15,"display","email"
8696,2017-02-04,"display","social"
9628,2017-02-21,"direct","social"
4607,2017-01-18,"social","social"
5850,2017-01-17,"social","none"
3999,2017-01-31,"email","social"
6216,2017-01-01,"social","none"
8396,2017-01-13,"social","social"
5512,2017-01-31,"display","none"
7723,2017-02-08,"email","social"
8706,2017-01-08,"social","none"
9311,2017-01-09,"social","none"
2847,2017-01-15,"email","none"
8127,2017-01-15,"social","social"
9673,2017-01-03,"email","none"
6961,2017-01-24,"none","none"
3457,2017-01-07,"social","social"
164,2017-01-13,"social","none"
874,2017-01-27,"display","none"
1582,2017-01-23,"social","none"
5907,2017-01-14,"social","social"
8065,2017-02-17,"email","none"
7469,2017-01-15,"email","email"
423,2017-02-12,"social","social"
3984,2017-02-18,"display","none"
7754,2017-02-22,"email","email"
4347,2017-01-30,"social","email"
8560,2017-01-03,"social","none"
148,2017-02-08,"display","email"
2625,2017-01-13,"social","social"
8315,2017-02-04,"direct","email"
9744,2017-01-16,"social","social"
1256,2017-01-07,"social","none"
4189,2017-02-05,"direct","none"
8054,2017-01-10,"email","none"
8857,2017-01-11,"display","none"
5671,2017-02-04,"display","none"
5495,2017-02-22,"email","email"
7070,2017-01-13,"social","social"
9796,2017-01-18,"social","social"
4617,2017-01-31,"social","email"
3849,2017-02-15,"display","none"
8112,2017-01-25,"display","social"
9321,2017-01-10,"social","none"
2753,2017-01-09,"social","social"
3974,2017-01-13,"display","email"
8177,2017-01-08,"social","social"
9990,2017-02-18,"email","email"
2571,2017-01-11,"display","display"
9758,2017-01-19,"email","none"
5908,2017-01-24,"display","none"
9709,2017-02-14,"display","none"
7267,2017-02-08,"email","email"
8843,2017-01-18,"social","social"
615,2017-01-22,"social","none"
6670,2017-01-02,"social","none"
7673,2017-02-01,"email","social"
9228,2017-01-06,"social","social"
7865,2017-02-25,"display","social"
2469,2017-01-07,"direct","none"
3870,2017-01-23,"email","none"
4916,2017-01-20,"social","none"
7953,2017-02-09,"email","email"
1006,2017-02-23,"email","email"
2034,2017-01-01,"none","none"
4528,2017-02-28,"email","email"
5509,2017-02-05,"display","email"
2711,2017-02-15,"display","none"
9736,2017-02-03,"direct","email"
4494,2017-01-17,"social","display"
5624,2017-02-06,"social","social"
3921,2017-02-07,"display","display"
4607,2017-02-27,"display","social"
7939,2017-01-25,"social","social"
2747,2017-01-26,"social","social"
1729,2017-02-17,"display","email"
6476,2017-01-25,"email","none"
3148,2017-02-11,"display","email"
3751,2017-02-18,"display","display"
2695,2017-02-07,"display","none"
8096,2017-01-31,"email","email"
6165,2017-02-07,"display","social"
5603,2017-01-28,"social","none"
8904,2017-01-07,"social","none"
9342,2017-02-05,"direct","none"
4243,2017-01-09,"display","none"
9858,2017-01-14,"direct","none"
3786,2017-01-14,"direct","email"
4176,2017-02-04,"direct","none"
2704,2017-01-27,"email","none"
2645,2017-01-09,"social","social"
2256,2017-01-21,"social","social"
180,2017-01-03,"social","none"
8856,2017-02-20,"display","social"
6768,2017-02-17,"email","none"
6527,2017-01-31,"email","email"
4770,2017-02-08,"email","none"
9648,2017-02-21,"email","email"
7838,2017-01-25,"email","none"
7229,2017-01-15,"social","social"
7221,2017-02-22,"none","none"
7493,2017-01-17,"social","none"
2538,2017-01-10,"social","none"
6675,2017-01-11,"email","none"
3833,2017-01-16,"social","none"
2602,2017-02-06,"direct","none"
3643,2017-02-26,"display","social"
7515,2017-01-21,"direct","none"
7542,2017-02-19,"display","none"
9394,2017-01-13,"email","email"
6670,2017-02-18,"display","email"
978,2017-01-30,"display","none"
1388,2017-01-10,"display","none"
9237,2017-02-16,"email","email"
6840,2017-01-05,"display","none"
5252,2017-01-03,"none","none"
8767,2017-01-21,"display","none"
3878,2017-02-04,"display","email"
3446,2017-02-14,"email","none"
1648,2017-02-07,"direct","none"
9653,2017-02-12,"email","none"
450,2017-01-11,"display","none"
489,2017-01-22,"email","none"
3907,2017-02-28,"display","none"
3479,2017-01-14,"display","none"
468,2017-01-05,"email","none"
8610,2017-02-01,"email","social"
9651,2017-02-05,"direct","email"
9458,2017-01-22,"social","social"
8389,2017-01-30,"social","none"
8465,2017-01-23,"display","social"
164,2017-02-15,"email","email"
7886,2017-02-08,"email","none"
7856,2017-01-29,"social","social"
3681,2017-02-24,"email","email"
5234,2017-01-11,"direct","none"
7901,2017-01-27,"email","none"
4942,2017-01-10,"social","none"
8085,2017-01-25,"display","none"
7633,2017-02-08,"email","email"
9009,2017-01-04,"none","none"
7798,2017-01-28,"social","social"
1845,2017-01-13,"display","email"
5944,2017-01-24,"social","social"
5614,2017-02-07,"email","email"
1204,2017-01-18,"email","none"
9630,2017-02-07,"display","none"
9920,2017-01-31,"email","none"
8475,2017-02-02,"display","email"
9107,2017-01-30,"email","none"
7723,2017-01-22,"social","none"
6418,2017-01-11,"email","email"
9833,2017-01-09,"direct","email"
8381,2017-01-24,"email","none"
5598,2017-01-04,"none","none"
3910,2017-02-05,"direct","email"
6267,2017-02-21,"email","email"
4837,2017-02-02,"email","email"
1082,2017-01-19,"display","email"
2923,2017-01-23,"social","none"
1367,2017-01-10,"email","none"
4285,2017-01-24,"display","social"
2840,2017-02-28,"display","email"
4403,2017-01-31,"email","none"
3080,2017-01-19,"social","social"
262,2017-02-21,"email","none"
2973,2017-01-07,"display","email"
2718,2017-02-20,"direct","social"
9811,2017-01-20,"display","none"
5094,2017-01-04,"display","none"
9382,2017-02-20,"none","none"
5291,2017-01-31,"email","none"
3995,2017-01-02,"social","none"
8696,2017-01-07,"display","none"
9443,2017-01-10,"display","none"
3379,2017-01-09,"social","none"
8052,2017-01-19,"social","none"
8599,2017-01-23,"display","none"
7212,2017-01-10,"email","none"
6583,2017-01-08,"direct","none"
