,budget,original_language,popularity,runtime,genres_Action,genres_Adventure,genres_Animation,genres_Comedy,genres_Crime,genres_Documentary,genres_Drama,genres_Family,genres_Fantasy,genres_History,genres_Horror,genres_Music,genres_Mystery,genres_Romance,genres_Science Fiction,genres_Thriller,genres_War,The sum of genres,production_companies_Amblin Entertainment,production_companies_Columbia Pictures,production_companies_Columbia Pictures Corporation,production_companies_Dark Horse Entertainment,production_companies_DreamWorks Animation,production_companies_DreamWorks SKG,production_companies_Dune Entertainment,production_companies_Legendary Pictures,production_companies_Lionsgate,production_companies_New Line Cinema,production_companies_Paramount Pictures,production_companies_Relativity Media,production_companies_Summit Entertainment,production_companies_The Weinstein Company,production_companies_Twentieth Century Fox Film Corporation,production_companies_Universal Pictures,production_companies_Village Roadshow Pictures,production_companies_Walden Media,production_companies_Walt Disney Pictures,production_companies_Warner Bros.,The sum of production_companies,Keywords_3d,Keywords_aftercreditsstinger,Keywords_airplane,Keywords_alcohol,Keywords_alcoholism,Keywords_alien,Keywords_based on comic,Keywords_based on novel,Keywords_based on true story,Keywords_based on young adult novel,Keywords_biography,Keywords_cia,Keywords_daughter,Keywords_drug,Keywords_duringcreditsstinger,Keywords_dying and death,Keywords_dystopia,Keywords_england,Keywords_family,Keywords_female nudity,Keywords_fight,Keywords_friendship,Keywords_gore,Keywords_high school,Keywords_imax,Keywords_independent film,Keywords_infidelity,Keywords_island,Keywords_jealousy,Keywords_london england,Keywords_love,Keywords_magic,Keywords_marvel comic,Keywords_monster,Keywords_murder,Keywords_musical,Keywords_nudity,Keywords_paris,Keywords_party,Keywords_prison,Keywords_remake,Keywords_revenge,Keywords_robot,Keywords_secret,Keywords_secret identity,Keywords_sequel,Keywords_sex,Keywords_sport,Keywords_superhero,Keywords_suspense,Keywords_teenager,Keywords_vampire,Keywords_violence,Keywords_war,Keywords_witch,Keywords_woman director,The sum of Keywords,Director_name(if more than 2 for the moive)_Clint Eastwood,actor_1,actor_2,release_year,release_month,release_day,prod_countries,director
0,6800000,French,8.596012,130,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,0,Lubna Azabal,Mélissa Désormeaux-Poulin,2009,04,10,Canada,Denis Villeneuve
1,16500000,English,7.829737,120,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,0,Anne Hathaway,James McAvoy,2003,02,07,United Kingdom,Julian Jarrold
2,90000000,English,17.547693,92,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,0,Tom Hanks,Tim Allen,1999,10,30,United States of America,Lee Unkrich
3,20000000,English,7.973126,114,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,Rachel Weisz,Adrien Brody,2009,09,08,United States of America,Rian Johnson
4,0,English,2.114833,100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,Michael Sheen,Maria Bello,2009,12,10,United States of America,Shawn Ku
5,36000000,English,11.967652000000001,101,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0,John Cusack,Lizzy Caplan,2010,03,26,United States of America,Jack Green
6,200000000,English,26.88907,194,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,0,Kate Winslet,Leonardo DiCaprio,1997,11,18,United States of America,James Cameron
7,20000000,English,14.114135999999998,101,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.0,0,Dane Cook,Kate Hudson,2008,09,19,United States of America,Jack Green
8,44000000,English,13.465656,128,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,Ben Affleck,Anna Kendrick,2016,10,14,United States of America,Seamus McGarvey
9,10000000,English,17.028854,97,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16.0,0,Lauren Cohan,Rupert Evans,2016,01,22,United States of America,William Brent Bell
